opinion_id,author,score,content,advantages,disadvantages,helpful,unhelpful,publish_date,purchase_date
19043025,,,"Laptop Apple MacBook Air M1 cieszy się wysokim uznaniem wśród użytkowników, którzy chwalą jego lekkość, szybkość działania oraz wysoką jakość wykonania. Użytkownicy doceniają także długi czas pracy na baterii oraz zgranie z innymi produktami Apple. Mimo pewnych ograniczeń wynikających z braku standardowych portów, ogólne wrażenie jest bardzo pozytywne.",,,0,0,,
14268101,s...3,5/5,"Laptop jest perfekcyjny, tylko nie za bardzo mi pasuje pod względem inżynierskich program typu Autocad, Robot itd.
Jak kupujecie go w celu pracy w tych programach to będzie nie najlepszy pomysł ze kupować ten laptop. We wszystkim innym nie mogę się nacieszyć - szybki, lekki, nie nagrzewa się, cichy i piękny :)",,,0,0,2021-04-10 18:42:54,2021-03-10 22:32:01
15147658,b...1,"4,5/5","Za tą cenę - nie ma równych na rynku🔝. 
Perfekcyjnie wykończony design, bezkonkurencyjny procesor(świetnie radzi sobie ze wszystkimi wymaganiami, osobiście dla mnie, w marketingu i reklamie), dobry experience.
Polecam od całego serca!👍🏻",,,0,0,2021-10-30 17:23:04,2021-09-30 07:32:20
14228418,s...e,5/5,"Jakość wykonania na najwyższym poziomie, pojemna bateria, każdego dnia używam go nonstop w godzinach 12-16. Duży gładzik dzięki któremu nie ma potrzeby kupowania myszki, jakosc audio rowniez na wysokim poziomie, pisanie sprawia przyjemność",,,0,0,2021-04-04 00:45:49,2021-03-17 10:32:40
13786487,Tomasz,5/5,"Jeszcze przed Sylwestrem 2020 kupiłem nowy model MacBooka Air (szary z 16GB RAM). Na dostawę z Cortland czekałem tylko tydzień, może miałem szczęście. Jest naprawdę ładny (zwłaszcza wyświetlacz w porównaniu ze starym MacBookiem Air z 2015), jakość wykonania aluminiowej obudowy, bardzo wygodna podświetlana klawiatura (chociaż przyzwyczaiłem się do większego skoku klawiszy), wielki i precyzyjny gładzik (warto nauczyć się obsługi gestów, jak np. przewijanie stron 2 palcami) - są w tym modelu bez zarzutu.  Dźwięk także bardzo dobry, czysty i znacznie głośniejszy niż w ASUSie ZenBook sprzed paru lat. Szkoda, że nie da się na nowym MacBooku zainstalować systemu Windows na wydzielonej partycji (podobno da się na maszynie wirtualnej Parallels). Minusem jest mało portów (tylko 2 USB typu C, w tym do ładowania, i wyjście na słuchawki) oraz brak czytnika kart pamięci (w starym modelu pozwalał tanio zwiększyć pamięć na pliki). Sprawę załatwia zgrabny kwadratowy hub od GreenCella (może lepiej nie podłączać przez niego ładowania, chociaż można, ale myszki, dyski zewnętrzne na USB i wyjście HDMI na zewnętrzny monitor - działają). Nie wykorzystywałem dotąd bardzo obciążających system programów (typu Final Cut Pro), ale aplikacje systemowe (Zdjęcia, Muzyka, Safari) oraz inne często używane (Microsoft *****, PowerPoint, Excel, Adobe Reader czy Google Chrome) uruchamiają się bardzo szybko a laptop działa bez szumu wentylatorów (których brak) i czasami jest tylko trochę cieplejszy... Wbrew narzekaniom paru youtuberów, obraz z kamerki nawet starego MacBooka Air z 2015 był ładny, jasny i wyraźny w porównaniu z innymi uczestnikami lekcji online (aplikacja Teams na MacOS). W nowym modelu jest oczywiście nie gorsza kamera niż w starym. Bateria starcza na 10 godzin pracy czy nawet więcej (przy przyciemnionym wyświetlaczu i bez wi-fi). System operacyjny MacOS 11 Big Sur jest intuicyjny w obsłudze, ładny graficznie i stabilny (świetnie sprawdza się np. Time Machine). W ogóle nie gram na komputerze, więc na dostępności najnowszych gier w sklepie AppStore mi nie zależy. Jako wieloletni użytkownik Windowsów wszelakich nie mogłem jednak przyzwyczaić się do paru różnic obu systemów, jak brak na klawiaturze MacBooka Delete, od razu też przestawiłem miejscami klawisze Command i Option, aby wygodniej wstawiać w tekście polskie znaki. Gesty gładzika dopiero poznaję, wolę używać zewnętrznej myszki, a to jest dosyć kłopotliwe, bo wymaga adaptera USB C na USB 3.1 albo myszki na Bluetooth. Może z czasem zainwestuję w nowszą mysz, np. od Apple...",,,0,0,2021-01-17 11:26:10,
14313169,k...k,5/5,"Jako użytkownik systemu windows i laptopów/komputerów na nim opartych od wielu lat muszę powiedzieć, że jakość wykonania tej maszyny to wręcz definicja produktu premium. Aluminiowa obudowa, która się nie w ogóle nie nagrzewa, laptop nie wydaje żadnych dźwięków a system śmiga jak torpeda. Co prawda przyzwyczajenie się do tego, jak pewne rzeczy są konfigurowane/wykorzystywane w MacOS trochę może zająć po latach innych nawyków ale pierwsze wrażenie jest jest piorunujące. Nigdy nie widziałem tak wysokiej jakości obrazu na ekranie laptopa, żyletka. A te kolory... Głośniki też spoko, mają nawet zauważalną głębię co jest dziwnym biorąc pod uwagę jak drobny jest to sprzęt. Jedyny minus jaki w zasadzie zauważyłem to spore ramki wokół ekranu, których w laptopach premium na Windowsie nie ma już od paru lat.",,,0,0,2021-04-18 20:07:28,2021-04-13 23:01:00
15390962,v...a,5/5,Super cienki i Super wykonanie! super bateria  i szybkosc wiecej mi nie trzeba :),,,0,0,2021-12-18 09:52:14,2021-12-05 10:08:38
14371486,z...p,5/5,"Mac, nic dodać nic ująć. Sprzęt wykonuje komendy w mgnieniu oka, piękny głęboki obraz z inteligentnym systemem przechodzenia w tryb nocny (można oczywiście wyłączyć) potężna bateria, fantastyczny, głęboki dźwięk z usadowionych obok klawiatury głośniczków, łączność z internetem po wifi niezawodna, mikrofon świetnie zbiera, kamera internetowa mogłaby być lepsza, bo w porównaniu z iPhonem prezentuje się licho, ale standard jest wciąż profesjonalny.
Minusy - brak standardowych wejść, od razu trzeba kupić adapter dla wszystkich potrzebnych narzędzi, SD USB HDMI itd.",,,0,0,2021-04-28 10:22:44,2021-04-16 17:00:40
13816722,m...c,5/5,"To mój pierwszy MacBook. Decyzję o zmianie komputera osobistego z windowsem na komputer z MacOS podjąłem przy okazji kilkumiesięcznego użytkowania flagowego smartfona z androidem i powrocie do iPhone. 
Dostęp do plików, multimediów i danych jest rewelacyjny w połączeniu z iCloud.
Macbook Air M1 jest wykonany z bardzo dobrej jakości materiałów. Jest całkowicie bezgłośny (nie posiada wentylatorów) a przy tym bardzo chłodny. Uważam, że jego cena jest adekwatna do tego co oferuje.
Polecam.",,,0,0,2021-01-21 20:31:49,2021-01-12 22:35:45
14327419,d...h,5/5,Sprzęt idealny,,,0,0,2021-04-21 07:15:46,2021-04-06 23:09:40
